-134.7493 61.7825 5.142 
-126.4812011694336 62.92016046142578 4.66504432106018 i
-118.21310233886719 64.05782092285156 5.2481748611927035 i
-109.94500350830079 65.19548138427734 8.746958101987838 i
-101.67690467773437 66.33314184570312 12.245741342782974 i
-93.40880584716797 67.4708023071289 8.853132963180542 m
-89.61548461914063 68.77586517333984 12.362622817357382 i
-85.82216339111328 70.08092803955078 13.907950669527054 i
-82.02884216308594 71.38599090576172 23.17991778254509 i
-78.23552093505859 72.69105377197266 32.451884895563126 i
-74.44219970703125 73.9961166381836 28.2347354888916 m
-72.35992431640625 75.02239990234375 29.2347354888916 i
-70.27764892578125 76.0486831665039 36.517104148864746 i
-68.19537353515625 77.07496643066406 26.083645820617676 i
-66.11309814453125 78.10124969482422 15.650187492370605 i
-64.03082275390625 79.12753295898438 13.49909782409668 m
-72.85126037597657 83.17268829345703 13.878484725952227 i
-81.67169799804688 87.21784362792968 15.613295316696256 i
-90.49213562011718 91.26299896240235 26.022158861160424 i
-99.31257324218751 95.308154296875 36.431022405624596 i
-108.13301086425781 99.35330963134766 28.13635635376 m
-105.89118804931641 100.3386474609375 29.13635635376 i
-103.649365234375 101.32398529052735 36.47594666481039 i
-101.4075424194336 102.30932312011718 26.054247617721703 i
-99.16571960449218 103.29466094970704 15.632548570633023 i
-96.92389678955078 104.27999877929688 13.550439834594727 m
-93.89774169921876 105.90807495117187 14.550439834594727 i
-90.87158660888672 107.53615112304688 19.563594460487366 i
-87.84543151855469 109.16422729492187 13.973996043205261 i
-84.81927642822265 110.79230346679688 8.384397625923157 i
-81.79312133789062 112.42037963867188 8.807953834533691 m
-78.0271159758725 109.7546159702555 9.807953834533691 i
-74.26111061385437 107.08885230183913 11.963853679997266 i
-70.49510525183625 104.42308863342275 8.54560977142662 i
-66.72909988981813 101.75732496500638 5.127365862855971 i
-62.9630945278 99.09156129659 4.8650217997489 p
