-134.7493 61.7825 5.142 o
-93.40880584716797 67.4708023071289 8.853132963180542 m
-82.02884216308594 71.38599090576172 24.17991778254509 i
-78.23552093505859 72.69105377197266 30.451884895563126 i
-74.44219970703125 73.9961166381836 30.2347354888916 i
-74.44219970703125 73.9961166381836 28.2347354888916 m
-70.27764892578125 76.0486831665039 28.2347354888916 i
-68.19537353515625 77.07496643066406 24.083645820617676 i
-66.11309814453125 78.10124969482422 17.650187492370605 i
-64.03082275390625 79.12753295898438 13.49909782409668 m
-99.31257324218751 95.308154296875 30.13635635376 i
-108.13301086425781 99.35330963134766 28.13635635376 m
-103.649365234375 101.32398529052735 30.13635635376 i
-101.4075424194336 102.30932312011718 26.054247617721703 i
-101.4075424194336 102.30932312011718 23.054247617721703 i
-101.4075424194336 102.30932312011718 20.054247617721703 i
-99.16571960449218 103.29466094970704 16.632548570633023 i
-96.92389678955078 104.27999877929688 13.550439834594727 m
-81.79312133789062 112.42037963867188 10.807953834533691 i
-81.79312133789062 112.42037963867188 8.807953834533691 m
-70.49510525183625 104.42308863342275 8.54560977142662 i
-62.9630945278 99.09156129659 4.8650217997489 p
