(134.7493, 61.7825, 0.142)
(94.40880584717, 68.47080230713, 8.85313296318)
(101.770908355735, 84.41205596924, 28.13635635376)
(109.1330108643, 100.35330963135, 28.13635635376)
(103.528453826925, 102.816654205325, 28.13635635376)
(97.92389678955, 105.2799987793, 13.550439834595)
(90.35850906371999, 109.350189209, 13.550439834595)
(82.79312133789, 113.4203796387, 8.807953834534)
(79.117660522445, 94.20824813844, 28.23473548889)
(75.442199707, 74.99611663818, 28.23473548889)
(70.23651123044999, 77.56182479858, 28.23473548889)
(65.0308227539, 80.12753295898, 13.49909782409668)
(1.0338641130499973, 89.60954712778499, 13.49909782409668)
(-62.9630945278, 99.09156129659, 4.8650217997489)
